Player Name,Season,Team,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per Carry,Yards After Contact,Avg. Box Defenders,Success %,TFL %,Explosive %,First Down %,Receptions,Rec. Yards,Rec. TDs,YAC,Target Share
110. Brittain Brown,2025,,RB,5,0.52,2.6,37,1,7.4,28,7.2,60%,0%,20%,80%,0,0,0,0,1.10%
111. Dameon Pierce,2025,,RB,14,-0.28,-3.88,36,0,2.57,31,7.21,14.29%,0%,0%,35.71%,0,0,0,0,0.59%
112. Trayveon Williams,2025,,RB,10,0.16,1.57,36,0,3.6,26,6.8,40%,10%,0%,120%,8,55,0,83,5%
113. Velus Jones,2025,,RB,4,0.29,1.15,32,0,8,9,7.25,25%,0%,25%,325%,0,0,0,0,0%
114. Zamir White,2025,,RB,12,-0.63,-7.57,32,0,2.67,23,6.92,8.33%,8.33%,0%,100%,4,24,0,24,3.11%
115. D'Ernest Johnson,2025,,RB,14,-0.39,-5.5,25,0,1.79,18,7.5,7.14%,7.14%,0%,35.71%,0,0,0,0,0%
116. Dare Ogunbowale,2025,,RB,11,-0.33,-3.66,25,1,2.27,21,7,27.27%,18.18%,0%,118.18%,10,76,0,56,2.35%
117. Tyler Goodson,2025,,RB,9,-0.33,-2.98,24,0,2.67,18,7,22.22%,0%,0%,88.89%,2,8,0,10,0.87%
118. Rasheen Ali,2025,,RB,7,-0.53,-3.72,24,0,3.43,9,6.86,28.57%,0%,0%,557.14%,9,68,1,83,3.06%
119. Tyler Badie,2025,,RB,8,-0.46,-3.7,23,0,2.88,21,7.75,25%,12.50%,0%,275%,19,141,0,200,5.56%
120. DeeJay Dallas,2025,,RB,3,-0.19,-0.56,21,0,7,8,7,33.33%,0%,33.33%,500%,0,0,0,0,0.56%
121. Jacardia Wright,2025,,RB,5,0.01,0.04,20,0,4,12,7.6,40%,0%,0%,20%,0,0,0,0,0%
122. Cam Akers,2025,,RB,5,-0.18,-0.91,19,0,3.8,14,7.2,40%,20%,20%,80%,0,0,0,0,0.55%
123. Phil Mafah,2025,,RB,5,0.21,1.07,18,1,3.6,12,7.4,60%,0%,0%,80%,2,11,0,22,8.70%
124. Roschon Johnson,2025,,RB,2,0.68,1.36,17,0,8.5,8,7,100%,0%,0%,400%,0,0,0,0,0%
125. Clyde Edwards-Helaire,2025,,RB,7,-0.38,-2.66,13,0,1.86,16,6.57,28.57%,28.57%,0%,14.29%,2,9,0,13,2.78%
126. Josh Williams,2025,,RB,4,-0.46,-1.86,11,0,2.75,8,6.5,0%,0%,0%,125%,0,0,0,0,0%
127. Jacob Saylors,2025,,RB,2,-0.53,-1.06,11,0,5.5,10,7.5,0%,0%,0%,2100%,0,0,0,0,0%
128. Dylan Laube,2025,,RB,7,-0.77,-5.37,9,0,1.29,8,6.57,14.29%,0%,0%,542.86%,3,18,0,24,0.81%
129. Amar Johnson,2025,,RB,2,-0.03,-0.05,8,0,4,5,5.5,50%,0%,0%,0%,0,0,0,0,1.92%
130. Kalel Mullings,2025,,RB,3,-0.18,-0.54,7,0,2.33,4,8.33,66.67%,0%,0%,200%,0,0,0,0,0%
131. Myles Gaskin,2025,,RB,3,-0.51,-1.54,6,0,2,5,8.67,0%,0%,0%,0%,0,0,0,0,0%
132. Owen Wright,2025,,RB,3,-0.35,-1.05,6,0,2,4,6.33,33.33%,33.33%,0%,100%,0,0,0,0,0%
133. Craig Reynolds,2025,,RB,3,-0.79,-2.36,4,0,1.33,4,7,0%,0%,0%,300%,0,0,0,0,0%
134. Kendall Milton,2025,,RB,2,0.43,0.86,2,0,1,2,6.5,50%,0%,0%,0%,0,0,0,0,0%
135. Nyheim Miller-Hines,2025,,RB,2,-0.76,-1.51,-2,0,-1,1,8,0%,50%,0%,350%,0,0,0,0,0%
