,,,,,,,Receiving,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
424,Patrick Mahomes,30,KAN,QB,14,14,1,1,-10,0,-8,-8,-2,-2,-8,0,,0,0,0,79.2,
425,Chris Manhertz,33,NYG,TE,14,2,1,1,7,0,1,1,6,6,1,0,,0,0,0,95.8,
426,Drake Maye,23,NWE,QB,14,14,1,1,2,0,-8,-8,10,10,-8,0,,0,0,0,79.2,
427,Scott Miller,28,PIT,WR,10,0,2,1,9,0,-1,-1,10,10,3.5,0,,0,0,0,62.5,
428,Jonathan Mingo,24,DAL,WR,3,0,2,1,25,1,21,21,4,4,19.5,0,,1,50,0,95.8,
429,David Moore,30,CAR,WR,4,2,1,1,5,0,5,5,0,0,5,0,,0,0,0,87.5,
430,Bryce Oliver,25,TEN,WR,2,0,1,1,8,0,6,6,2,2,6,0,,0,0,0,100,
431,Gunner Olszewski,29,NYG,WR,13,0,3,1,24,1,23,23,1,1,17,0,,0,0,0,102.8,
432,Dante Pettis,30,NOR,WR,5,0,1,1,14,0,14,14,0,0,14,0,,0,0,0,118.7,
433,Spencer Rattler,25,NOR,QB,9,8,2,1,0,0,0,0,0,0,2,0,,0,0,1,16.7,
434,Nikko Remigio,26,KAN,WR,13,0,1,1,21,1,18,18,3,3,18,0,,0,0,0,118.7,
435,Anthony Richardson,23,IND,QB,2,0,1,1,9,1,2,2,7,7,2,0,,0,0,0,104.2,
436,Aaron Rodgers,42,PIT,QB,13,13,1,1,-9,0,-9,-9,0,0,-9,0,,0,0,0,79.2,
437,Chris Rodriguez,25,WAS,RB,11,6,2,1,6,0,3,3,3,3,7.5,0,,0,0,1,16.7,
438,Carter Runyon,24,LVR,TE,10,0,1,1,3,0,-3,-3,6,6,-3,0,,0,0,0,79.2,
439,Jeffery Simmons,28,TEN,DT,12,12,1,1,1,1,1,1,0,0,1,0,,0,0,0,118.7,
440,Ben Sims,25,MIN,TE,5,1,1,1,9,1,4,4,5,5,4,0,,0,0,0,104.2,
441,Robert Tonyan,31,KAN,TE,14,0,1,1,1,0,1,1,0,0,1,0,,0,0,0,79.2,
442,Tahj Washington,24,MIA,WR,4,1,2,1,11,0,5,5,6,6,28,0,,0,0,1,27.1,
443,Jared Wiley,25,KAN,TE,2,0,1,1,4,1,-4,-4,8,8,-4,0,,0,0,0,83.3,
444,Jameis Winston,31,NYG,QB,3,2,1,1,33,1,13,13,20,20,13,1,1,0,0,0,158.3,
445,Tristan Wirfs,26,TAM,T,10,10,1,1,2,1,1,1,1,1,1,0,,0,0,0,118.7,
446,Ben Yurosek,23,MIN,TE,9,0,2,1,5,0,0,0,5,5,3,0,,0,0,0,56.2,
447,Cam Akers,26,MIN,RB,3,0,1,0,0,0,0,,0,,-6,0,,1,100,0,39.6,
448,Garett Bolles,33,DEN,T,14,14,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
449,Tahj Brooks,23,CIN,RB,13,0,1,0,0,0,0,,0,,-3,0,,0,0,1,0,
450,Brittain Brown,28,CHI,RB,3,0,1,0,0,0,0,,0,,4,0,,0,0,0,39.6,
451,Jason Brownlee,26,KAN,WR,5,0,1,0,0,0,0,,0,,9,0,,0,0,0,39.6,
452,Alex Cappa,30,LVR,G,14,5,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
453,Julius Chestnut,25,TEN,RB,14,0,2,0,0,0,0,,0,,11,0,,0,0,0,39.6,
454,Justin Fields,26,NYJ,QB,9,9,1,0,0,0,0,,0,,6,0,,0,0,0,39.6,
455,DJ Giddens,22,IND,RB,7,0,2,0,0,0,0,,0,,-3,0,,0,0,0,39.6,
456,Mecole Hardman,27,BUF,WR,1,0,1,0,0,0,0,,0,,46,0,,0,0,0,39.6,
457,Khalil Herbert,27,NYJ,RB,4,0,1,0,0,0,0,,0,,-4,0,,0,0,0,39.6,
458,Amar Johnson,22,LAC,RB,2,0,1,0,0,0,0,,0,,-2,0,,0,0,0,39.6,
459,Charlie Jones,27,CIN,WR,14,0,1,0,0,0,0,,0,,42,0,,0,0,0,39.6,
460,Nick Kallerup,24,SEA,TE,7,0,1,0,0,0,0,,0,,8,0,,0,0,0,39.6,
461,Elijah Mitchell,27,KAN,RB,1,0,1,0,0,0,0,,0,,16,0,,0,0,1,0,
462,Bo Nix,25,DEN,QB,14,14,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
463,Trevor Penning,26,LAC,OT,4,2,1,0,0,0,0,,0,,5,0,,0,0,0,39.6,
464,Dameon Pierce,25,HOU,RB,4,0,1,0,0,0,0,,0,,-4,0,,1,100,0,39.6,
465,Bernhard Raimann,28,IND,T,14,14,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
466,Patrick Ricard,31,BAL,FB,8,2,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
467,Brady Russell,27,SEA,FB,14,1,1,0,0,0,0,,0,,0,0,,1,100,0,39.6,
468,Stone Smartt,27,NYJ,TE,12,0,1,0,0,0,0,,0,,16,0,,0,0,0,39.6,
469,Malik Turner,29,SFO,WR,3,0,1,0,0,0,0,,0,,-5,0,,0,0,0,39.6,
470,Jack Westover,26,NWE,FB,14,1,1,0,0,0,0,,0,,12,0,,1,100,0,39.6,
471,Brayden Willis,26,SFO,TE,5,0,1,0,0,0,0,,0,,2,0,,0,0,0,39.6,
472,Luke Wypler,24,CLE,C,14,2,1,0,0,0,0,,0,,1,0,,0,0,0,39.6,
