Player Name,Season,Team,Plays,Total EPA,EPA/Play,Pass EPA,Rush EPA,Scramble %,Sack %,Success %,ADoT,Comp %,Pass Yards,Time To Throw,Pass TD,INT,YPA,Rush Yards,Rush TD
1. Drake Maye,2025,,642,169.96,0.26,159.8,10.16,10.32%,7.82%,52.96%,9.51,71.95%,4394,2.81,31,8,8.93,450,4
2. Jordan Love,2025,,507,120.84,0.24,108.51,12.34,4.96%,4.34%,48.92%,9.42,66.29%,3381,2.72,23,6,7.7,199,0
3. Matthew Stafford,2025,,649,109.09,0.17,140.93,-31.84,1.12%,3.67%,50.85%,9.34,64.99%,4707,2.64,46,8,7.88,1,0
4. Josh Allen,2025,,612,104.43,0.17,65.66,38.77,9.09%,7.27%,48.86%,7.55,69.35%,3668,2.74,25,10,7.97,579,14
5. Patrick Mahomes,2025,,600,96.25,0.16,67.09,29.16,9%,5.77%,49%,8.56,62.75%,3587,2.66,22,11,7.15,422,5
6. Dak Prescott,2025,,684,94.09,0.14,103.52,-9.43,3.96%,4.72%,47.37%,8.23,67.33%,4552,2.67,30,10,7.59,177,2
7. Jared Goff,2025,,635,92.04,0.14,106.46,-14.42,0.81%,6.12%,47.87%,6.82,67.99%,4564,2.54,34,8,7.9,45,0
8. Daniel Jones,2025,,451,76.41,0.17,60.23,16.18,5.36%,5.13%,51%,8.24,67.97%,3101,2.55,19,8,8.08,164,5
9. Brock Purdy,2025,,328,74.98,0.23,58.79,16.19,5.75%,3.51%,53.96%,7.9,69.37%,2167,3.01,20,10,7.63,147,3
10. Bo Nix,2025,,717,63.64,0.09,55.23,8.41,5.37%,3.28%,43.93%,7.71,63.40%,3931,2.72,25,11,6.42,356,5
11. Trevor Lawrence,2025,,683,60.67,0.09,34.88,25.79,6.53%,6.38%,47.73%,8.96,60.89%,4007,2.68,29,12,7.16,359,9
12. C.J. Stroud,2025,,494,56.52,0.11,41.48,15.04,5.31%,4.88%,46.15%,8.47,64.54%,3041,2.68,19,8,7.19,209,1
13. Caleb Williams,2025,,669,49.36,0.07,43.96,5.4,6.77%,3.78%,43.80%,9.33,58.10%,3942,3.03,27,7,6.94,383,3
14. Sam Darnold,2025,,539,47.76,0.09,60.74,-12.97,2.70%,5.21%,51.02%,8.3,67.71%,4048,2.71,25,14,8.49,95,0
15. Jalen Hurts,2025,,591,43.94,0.07,27.26,16.68,7.78%,6.07%,44.33%,9.54,64.76%,3224,2.8,25,6,7.1,421,8
16. Baker Mayfield,2025,,634,33.88,0.05,-1.84,35.72,6.91%,5.79%,44.48%,8.34,63.17%,3693,2.71,26,11,6.8,382,1
17. Joe Burrow,2025,,290,33.02,0.11,29.46,3.57,2.82%,5.99%,49.31%,7.53,66.80%,1809,2.67,17,5,6.98,41,0
18. Mac Jones,2025,,341,32.87,0.1,38.13,-5.27,2.56%,5.11%,50.44%,7.64,69.55%,2151,2.58,13,6,7.44,60,0
19. Jaxson Dart,2025,,460,29.83,0.06,-8.29,38.12,9.44%,8.47%,45.22%,8.45,63.72%,2272,2.66,15,5,6.7,487,9
20. Malik Willis,2025,,60,29.15,0.49,28.08,1.06,19.15%,6.38%,63.33%,10.11,85.71%,422,2.59,3,0,12.06,123,2
21. Lamar Jackson,2025,,405,27.04,0.07,6.43,20.61,8.40%,9.76%,45.93%,9.13,63.58%,2549,2.89,21,7,8.44,349,2
22. Jameis Winston,2025,,76,19.68,0.26,15.39,4.29,1.43%,4.29%,43.42%,9.83,56.06%,567,2.83,2,2,8.59,23,1
23. Justin Herbert,2025,,649,19.35,0.03,4.51,14.84,7.97%,8.78%,46.84%,8.12,66.41%,3727,2.74,26,13,7.28,498,2
24. Mitchell Trubisky,2025,,44,18.83,0.43,25.63,-6.8,5.41%,0%,52.27%,7.5,71.43%,313,2.64,4,0,8.94,6,0
25. Tyler Huntley,2025,,99,13.08,0.13,2.23,10.85,9.64%,9.64%,49.49%,6.5,77.61%,426,2.46,2,0,6.36,151,0
