Player,Pos,Team,APY,QBrec,Att,TD%,Int%,Succ%,Y/G,Rate,QBR,Sk%,ANY/A,EPA/Play,Pass EPA,Rush EPA,ADoT,Time To Throw,IAY/PA,Bad%,Prss%,OnTgt%
Jalen Travis,LT,IND,"$1,280,317",,,,,,,,,,,,,,,,,,,
Jaylin Lane,WR,WAS,"$1,278,460",,,,,,,,,,,,,,,,,,,
Kyle Allen,QB,DET,"$1,270,000",nan,2.0,0.0,0.0,,0.0,39.6,4.9,0.0,0.0,-0.27,-1.36,0.0,5.0,2.32,5,0,0,100
D'Wayne Eskridge,WR,MIA,"$1,270,000",,,,,,,,,,,,,,,,,,,
Jack Stoll,TE,NO,"$1,270,000",,,,,,,,,,,,,,,,,,,
Jalen Royals,WR,KC,"$1,266,800",,,,,,,,,,,,,,,,,,,
Jeremy Ruckert,TE,NYJ,"$1,261,226",,,,,,,,,,,,,,,,,,,
Brian Robinson Jr.,RB,SF,"$1,261,226",,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,TE,CAR,"$1,261,059",,,,,,,,,,,,,,,,,,,
Pharaoh Brown,TE,ARI,"$1,255,000",,,,,,,,,,,,,,,,,,,
Ameer Abdullah,RB,IND,"$1,255,000",,,,,,,,,,,,,,,,,,,
Bobby Hart,RT,LAC,"$1,255,000",,,,,,,,,,,,,,,,,,,
Tanner Hudson,TE,CIN,"$1,255,000",,,,,,,,,,,,,,,,,,,
Nick Vannett,TE,LAR,"$1,255,000",,,,,,,,,,,,,,,,,,,
Dan Feeney,LG,TB,"$1,255,000",,,,,,,,,,,,,,,,,,,
Corey Levin,C,TEN,"$1,255,000",,,,,,,,,,,,,,,,,,,
Philip Rivers,QB,IND,"$1,255,000",0,27.0,3.7,3.7,35.7,120.0,73.1,52.5,3.57,3.32,-0.01,0.35,-1.15,7.82,2.35,7.3,14.8,16.9,68.9
Teddy Bridgewater,QB,TB,"$1,255,000",nan,15.0,0.0,0.0,17.6,15.5,63.7,8.2,11.76,2.41,-0.63,-12.5,-0.02,7.0,2.22,6.5,28.6,22.2,57.1
Robert Tonyan,TE,KC,"$1,255,000",,,,,,,,,,,,,,,,,,,
Germain Ifedi,RT,MIA,"$1,255,000",,,,,,,,,,,,,,,,,,,
Laquon Treadwell,WR,IND,"$1,255,000",,,,,,,,,,,,,,,,,,,
Brandin Cooks,WR,BUF,"$1,255,000",,,,,,,,,,,,,,,,,,,
George Fant,LT,WAS,"$1,255,000",,,,,,,,,,,,,,,,,,,
Geron Christian,LT,DEN,"$1,255,000",,,,,,,,,,,,,,,,,,,
Tyler Lockett,WR,LV,"$1,255,000",,,,,,,,,,,,,,,,,,,
Troy Franklin,WR,DEN,"$1,222,459",,,,,,,,,,,,,,,,,,,
Trystan Colon,C,DET,"$1,220,000",,,,,,,,,,,,,,,,,,,
Elic Ayomanor,WR,TEN,"$1,216,454",,,,,,,,,,,,,,,,,,,
Jordan Watkins,WR,SF,"$1,216,454",,,,,,,,,,,,,,,,,,,
Theo Johnson,TE,NYG,"$1,212,859",,,,,,,,,,,,,,,,,,,
Devontez Walker,WR,BAL,"$1,204,463",,,,,,,,,,,,,,,,,,,
Erick All,TE,CIN,"$1,203,276",,,,,,,,,,,,,,,,,,,
Tanor Bortolini,C,IND,"$1,199,968",,,,,,,,,,,,,,,,,,,
Mason McCormick,LG,PIT,"$1,196,224",,,,,,,,,,,,,,,,,,,
Jaylen Wright,RB,MIA,"$1,195,005",,,,,,,,,,,,,,,,,,,
A.J. Barner,TE,SEA,"$1,193,777",,,,,,,,,,,,,,,,,,,
Cade Stover,TE,HOU,"$1,189,734",,,,,,,,,,,,,,,,,,,
Bucky Irving,RB,TB,"$1,187,888",,,,,,,,,,,,,,,,,,,
Giovanni Manu,LT,DET,"$1,186,414",,,,,,,,,,,,,,,,,,,
Nick Saldiveri,LG,NO,"$1,186,320",,,,,,,,,,,,,,,,,,,
Will Shipley,RB,PHI,"$1,184,241",,,,,,,,,,,,,,,,,,,
Ray Davis,RB,BUF,"$1,183,297",,,,,,,,,,,,,,,,,,,
Isaac Guerendo,RB,SF,"$1,181,132",,,,,,,,,,,,,,,,,,,
Jared Wiley,TE,KC,"$1,177,155",,,,,,,,,,,,,,,,,,,
Simi Fehoko,WR,ARI,"$1,170,000",,,,,,,,,,,,,,,,,,,
Harrison Bryant,TE,HOU,"$1,170,000",,,,,,,,,,,,,,,,,,,
Devin Duvernay,WR,CHI,"$1,170,000",,,,,,,,,,,,,,,,,,,
James Proche,WR,TEN,"$1,170,000",,,,,,,,,,,,,,,,,,,
Easton Stick,QB,ATL,"$1,170,000",,,,,,,,,,,,,,,,,,,
Matt Nelson,LT,MIN,"$1,170,000",,,,,,,,,,,,,,,,,,,
Daniel Brunskill,RG,MIA,"$1,170,000",,,,,,,,,,,,,,,,,,,
Anthony Firkser,TE,DET,"$1,170,000",,,,,,,,,,,,,,,,,,,
Gabriel Davis,WR,BUF,"$1,170,000",,,,,,,,,,,,,,,,,,,
D'Ernest Johnson,RB,NE,"$1,170,000",,,,,,,,,,,,,,,,,,,
Trayveon Williams,RB,CLE,"$1,170,000",,,,,,,,,,,,,,,,,,,
Chase Edmonds,RB,WAS,"$1,170,000",,,,,,,,,,,,,,,,,,,
John Wolford,QB,MIN,"$1,170,000",,,,,,,,,,,,,,,,,,,
Brett Rypien,QB,IND,"$1,170,000",nan,0.0,,,,0.0,,0.0,100.0,-2.0,,,,,,,,,
Dante Pettis,WR,NO,"$1,170,000",,,,,,,,,,,,,,,,,,,
Mecole Hardman,WR,BUF,"$1,170,000",,,,,,,,,,,,,,,,,,,
Michael Carter,RB,ARI,"$1,170,000",,,,,,,,,,,,,,,,,,,
Josiah Deguara,TE,ARI,"$1,170,000",,,,,,,,,,,,,,,,,,,
Lil'Jordan Humphrey,WR,DEN,"$1,170,000",,,,,,,,,,,,,,,,,,,
Tyler Huntley,QB,BAL,"$1,170,000",1,37.0,2.7,0.0,41.9,84.7,100.5,85.1,13.95,5.65,0.03,-4.23,6.02,7.59,2.52,7.3,15.2,25.4,82.6
Gunner Olszewski,WR,NYG,"$1,170,000",,,,,,,,,,,,,,,,13,0,100,100
Michael Jordan,LG,TB,"$1,170,000",,,,,,,,,,,,,,,,,,,
Max Scharping,RG,PIT,"$1,170,000",,,,,,,,,,,,,,,,,,,
Calvin Throckmorton,RG,DEN,"$1,170,000",,,,,,,,,,,,,,,,,,,
Dan Skipper,LT,DET,"$1,170,000",,,,,,,,,,,,,,,,,,,
Stone Forsythe,LT,LV,"$1,170,000",,,,,,,,,,,,,,,,,,,
Khalil Herbert,RB,NYJ,"$1,170,000",,,,,,,,,,,,,,,,,,,
Cedrick Wilson Jr.,WR,MIA,"$1,170,000",,,,,,,,,,,,,,,,,,,
Hakeem Adeniji,LT,DAL,"$1,170,000",,,,,,,,,,,,,,,,,,,
Jake Curhan,RT,CAR,"$1,170,000",,,,,,,,,,,,,,,,,,,
Tyler Johnson,WR,NYJ,"$1,170,000",,,,,,,,,,,,,,,,,,,
Olisaemeka Udoh,LT,TEN,"$1,170,000",,,,,,,,,,,,,,,,,,,
Ben Cleveland,RG,BAL,"$1,170,000",,,,,,,,,,,,,,,,,,,
Patrick Taylor,RB,SF,"$1,170,000",,,,,,,,,,,,,,,,,,,
Andre James,C,LAC,"$1,170,000",,,,,,,,,,,,,,,,,,,
Donald Parham,TE,PIT,"$1,170,000",,,,,,,,,,,,,,,,,,,
Gardner Minshew,QB,KC,"$1,170,000",,,,,,,,,,,-0.37,-6.41,-0.57,6.18,2.54,,,,
Trent Taylor,WR,SF,"$1,170,000",,,,,,,,,,,,,,,,,,,
Salvon Ahmed,RB,IND,"$1,170,000",,,,,,,,,,,,,,,,,,,
Carson Vinson,LT,BAL,"$1,167,399",,,,,,,,,,,,,,,,,,,
Blake Freeland,LT,IND,"$1,163,972",,,,,,,,,,,,,,,,,,,
Jake Andrews,C,HOU,"$1,162,086",,,,,,,,,,,,,,,,,,,
Shedeur Sanders,QB,CLE,"$1,161,845",1,138.0,3.6,4.3,33.8,189.2,68.1,16.9,8.61,4.4,-0.24,-55.03,8.08,7.55,3.1,6.8,17.3,42.1,71.3
Anthony Bradford,RG,SEA,"$1,160,997",,,,,,,,,,,,,,,,,,,
Jordan James,RB,SF,"$1,159,921",,,,,,,,,,,,,,,,,,,
Dawand Jones,RT,CLE,"$1,158,084",,,,,,,,,,,,,,,,,,,
Britain Covey,WR,PHI,"$1,157,500",,,,,,,,,,,,,,,,,,,
Deven Thompkins,WR,ATL,"$1,157,500",,,,,,,,,,,,,,,,,,,
Jaydon Blue,RB,DAL,"$1,156,767",,,,,,,,,,,,,,,,,,,
DJ Giddens,RB,IND,"$1,156,186",,,,,,,,,,,,,,,,,,,
Jalen Rivers,LT,CIN,"$1,155,247",,,,,,,,,,,,,,,,,,,
Marcus Mbow,RT,NYG,"$1,154,596",,,,,,,,,,,,,,,,,,,
Chandler Zavala,RG,CAR,"$1,152,934",,,,,,,,,,,,,,,,,,,
Roschon Johnson,RB,CHI,"$1,152,172",,,,,,,,,,,,,,,,,,,
KeAndre Lambert-Smith,WR,LAC,"$1,152,001",,,,,,,,,,,,,,,,,,,
Matt Hennessy,C,SF,"$1,150,000",,,,,,,,,,,,,,,,,,,
Mitchell Evans,TE,CAR,"$1,147,742",,,,,,,,,,,,,,,,,,,
Brett Toth,LT,PHI,"$1,147,500",,,,,,,,,,,,,,,,,,,
Oronde Gadsden II,TE,LAC,"$1,143,509",,,,,,,,,,,,,,,,,,,
Jon Gaines,LG,ARI,"$1,143,060",,,,,,,,,,,,,,,,,,,
Tory Horton,WR,SEA,"$1,141,260",,,,,,,,,,,,,,,,,,,
Jackson Slater,LG,TEN,"$1,140,153",,,,,,,,,,,,,,,,,,,
Drew Kendall,C,PHI,"$1,138,769",,,,,,,,,,,,,,,,,,,
Derius Davis,WR,LAC,"$1,137,982",,,,,,,,,,,,,,,,,,,
Sione Vaki,RB,DET,"$1,137,177",,,,,,,,,,,,,,,,,,,
Jacob Cowing,WR,SF,"$1,137,177",,,,,,,,,,,,,,,,,,,
Braelon Allen,RB,NYJ,"$1,137,177",,,,,,,,,,,,,,,,,,,
Stetson Bennett,QB,LAR,"$1,134,783",,,,,,,,,,,,,,,,,,,
Cade Otton,TE,TB,"$1,130,985",,,,,,,,,,,,,,,,,,,
Jackson Hawes,TE,BUF,"$1,130,054",,,,,,,,,,,,,,,,,,,
Miles Frazier,RG,DET,"$1,130,054",,,,,,,,,,,,,,,,,,,
Robbie Ouzts,TE,SEA,"$1,130,054",,,,,,,,,,,,,,,,,,,
Charlie Jones,WR,CIN,"$1,129,694",,,,,,,,,,,,,,,,,,,
Ollie Gordon II,RB,MIA,"$1,118,166",,,,,,,,,,,,,,,,,,,
Daniel Faalele,RG,BAL,"$1,115,085",,,,,,,,,,,,,,,,,,,
Max Mitchell,LG,NYJ,"$1,114,007",,,,,,,,,,,,,,,,,,,
Daniel Bellinger,TE,NYG,"$1,113,278",,,,,,,,,,,,,,,,,,,
Cameron Williams,RT,PHI,"$1,112,892",,,,,,,,,,,,,,,,,,,
Devin Neal,RB,NO,"$1,112,828",,,,,,,,,,,,,,,,,,,
Will Howard,QB,PIT,"$1,112,025",,,,,,,,,,,,,,,,,,,
Kalel Mullings,RB,TEN,"$1,109,627",,,,,,,,,,,,,,,,,,,
Riley Leonard,QB,IND,"$1,108,811",nan,31.0,0.0,3.2,31.3,72.5,56.5,47.6,3.13,2.84,-0.2,-8.66,1.57,5.69,2.58,5.7,9.4,14.7,62.5
Myles Hinton,LT,PHI,"$1,108,316",,,,,,,,,,,,,,,,,,,
Bryce Cabeldue,RT,SEA,"$1,108,065",,,,,,,,,,,,,,,,,,,
Tahj Brooks,RB,CIN,"$1,107,714",,,,,,,,,,,,,,,,,,,
Luke Newman,LG,CHI,"$1,107,515",,,,,,,,,,,,,,,,,,,
Graham Mertz,QB,HOU,"$1,107,121",,,,,,,,,,,,,,,,,,,
Gavin Bartholomew,TE,MIN,"$1,103,956",,,,,,,,,,,,,,,,,,,
LaJohntay Wester,WR,BAL,"$1,103,717",,,,,,,,,,,,,,,,,,,
Ajani Cornelius,RT,DAL,"$1,103,494",,,,,,,,,,,,,,,,,,,
Chase Lundt,RT,BUF,"$1,101,231",,,,,,,,,,,,,,,,,,,
Zamir White,RB,LV,"$1,100,981",,,,,,,,,,,,,,,,,,,
Xavier Newman-Johnson,RG,NYJ,"$1,100,000",,,,,,,,,,,,,,,,,,,
Thayer Munford,RT,NE,"$1,100,000",,,,,,,,,,,,,,,,,,,
Tom Kennedy,WR,DET,"$1,100,000",,,,,,,,,,,,,,,,,,,
Lucas Niang,RT,WAS,"$1,100,000",,,,,,,,,,,,,,,,,,,
Cole Strange,LG,MIA,"$1,100,000",,,,,,,,,,,,,,,,,,,
Julius Chestnut,RB,TEN,"$1,100,000",,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,WR,NYG,"$1,100,000",,,,,,,,,,,,,,,,,,,
Teagan Quitoriano,TE,ATL,"$1,100,000",,,,,,,,,,,,,,,,,,,
Skylar Thompson,QB,PIT,"$1,100,000",,,,,,,,,,,,,,,,,,,
Jamarco Jones,LT,DET,"$1,100,000",,,,,,,,,,,,,,,,,,,
Treylon Burks,WR,WAS,"$1,100,000",,,,,,,,,,,,,,,,,,,
Ronnie Rivers,RB,LAR,"$1,100,000",,,,,,,,,,,,,,,,,,,
Tyree Jackson,TE,WAS,"$1,100,000",,,,,,,,,,,,,,,,,,,
Tyquan Thornton,WR,KC,"$1,100,000",,,,,,,,,,,,,,,,,,,
Shane Zylstra,TE,DET,"$1,100,000",,,,,,,,,,,,,,,,,,,
David Sills,WR,ATL,"$1,100,000",,,,,,,,,,,,,,,,,,,
Quintin Morris,TE,JAX,"$1,100,000",,,,,,,,,,,,,,,,,,,
Brock Hoffman,RG,DAL,"$1,100,000",,,,,,,,,,,,,,,,,,,
Jimmy Horn Jr.,WR,CAR,"$1,098,860",,,,,,,,,,,,,,,,,,,
Darian Kinnard,RT,GB,"$1,097,500",,,,,,,,,,,,,,,,,,,
Sedrick Van Pran-Granger,C,BUF,"$1,093,813",,,,,,,,,,,,,,,,,,,
Hayden Conner,LG,ARI,"$1,093,570",,,,,,,,,,,,,,,,,,,
Anthony Gould,WR,IND,"$1,093,166",,,,,,,,,,,,,,,,,,,
Charlie Kolar,TE,BAL,"$1,091,220",,,,,,,,,,,,,,,,,,,
Spencer Rattler,QB,NO,"$1,089,120",1,257.0,3.1,1.9,43.3,176.2,86.5,50.3,6.55,5.15,-0.09,-36.24,9.59,8.29,2.54,7.9,11,17.5,74.7
Jack Nelson,LT,ATL,"$1,088,154",,,,,,,,,,,,,,,,,,,
Hassan Haskins,RB,LAC,"$1,088,052",,,,,,,,,,,,,,,,,,,
Andre Baccellia,WR,ARI,"$1,087,500",,,,,,,,,,,,,,,,,,,
Mason Kinsey,WR,TEN,"$1,087,500",,,,,,,,,,,,,,,,,,,
Malik Davis,RB,DAL,"$1,087,500",,,,,,,,,,,,,,,,,,,
Thomas Fidone II,TE,NYG,"$1,087,379",,,,,,,,,,,,,,,,,,,
Aidan O'Connell,QB,LV,"$1,087,345",,,,,,,,,,,,,,,,,,,
Marcus Bryant,LT,NE,"$1,087,082",,,,,,,,,,,,,,,,,,,
Jonah Monheim,C,JAX,"$1,086,077",,,,,,,,,,,,,,,,,,,
Romeo Doubs,WR,GB,"$1,085,979",,,,,,,,,,,,,,,,,,,
Hunter Nourzad,C,KC,"$1,084,879",,,,,,,,,,,,,,,,,,,
Kurtis Rourke,QB,SF,"$1,083,559",,,,,,,,,,,,,,,,,,,
Brashard Smith,RB,KC,"$1,083,369",,,,,,,,,,,,,,,,,,,
Quinn Ewers,QB,MIA,"$1,082,894",nan,8.0,0.0,0.0,30.0,53.0,81.8,25.5,20.0,3.3,-0.14,-1.67,-4.56,9.0,2.57,8.8,10.8,17.1,70.3
Christian Jones,RT,ARI,"$1,082,614",,,,,,,,,,,,,,,,,,,
Kyle Monangai,RB,CHI,"$1,082,035",,,,,,,,,,,,,,,,,,,
Mason Richman,LT,SEA,"$1,081,481",,,,,,,,,,,,,,,,,,,
Tez Johnson,WR,TB,"$1,080,985",,,,,,,,,,,,,,,,,,,
Jacob Monk,C,GB,"$1,080,404",,,,,,,,,,,,,,,,,,,
LeQuint Allen,RB,JAX,"$1,079,689",,,,,,,,,,,,,,,,,,,
Phil Mafah,RB,DAL,"$1,077,883",,,,,,,,,,,,,,,,,,,
Rasheen Ali,RB,BAL,"$1,077,467",,,,,,,,,,,,,,,,,,,
Konata Mumpfield,WR,LAR,"$1,077,134",,,,,,,,,,,,,,,,,,,
Dominic Lovett,WR,DET,"$1,076,693",,,,,,,,,,,,,,,,,,,
Tyrone Tracy Jr.,RB,NYG,"$1,076,588",,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt,RB,WAS,"$1,076,357",,,,,,,,,,,,,,,,,,,
Connor Colby,RG,SF,"$1,075,418",,,,,,,,,,,,,,,,,,,
John Williams,LG,GB,"$1,075,418",,,,,,,,,,,,,,,,,,,
Trevor Keegan,LG,DAL,"$1,068,569",,,,,,,,,,,,,,,,,,,
Isaiah Davis,RB,NYJ,"$1,068,569",,,,,,,,,,,,,,,,,,,
Bub Means,WR,NO,"$1,068,569",,,,,,,,,,,,,,,,,,,
Walter Rouse,LT,MIN,"$1,061,648",,,,,,,,,,,,,,,,,,,
Malik Washington,WR,MIA,"$1,054,890",,,,,,,,,,,,,,,,,,,
Johnny Wilson,WR,PHI,"$1,054,252",,,,,,,,,,,,,,,,,,,
Casey Washington,WR,ATL,"$1,053,399",,,,,,,,,,,,,,,,,,,
Joe Milton III,QB,DAL,"$1,050,829",,,,,,,,,,,,,,,,,,,
Travis Glover,LT,GB,"$1,047,845",,,,,,,,,,,,,,,,,,,
Tylan Grable,LT,BUF,"$1,047,478",,,,,,,,,,,,,,,,,,,
Nick Gargiulo,RG,DEN,"$1,046,500",,,,,,,,,,,,,,,,,,,
Mike Jerrell,RT,ATL,"$1,045,015",,,,,,,,,,,,,,,,,,,
Dylan Laube,RB,LV,"$1,043,798",,,,,,,,,,,,,,,,,,,
Chigoziem Okonkwo,TE,TEN,"$1,041,084",,,,,,,,,,,,,,,,,,,
Calvin Austin III,WR,PIT,"$1,041,084",,,,,,,,,,,,,,,,,,,
Isaiah Likely,TE,BAL,"$1,041,084",,,,,,,,,,,,,,,,,,,
Colby Sorsdal,RG,DET,"$1,040,021",,,,,,,,,,,,,,,,,,,
Elijah Klein,LG,TB,"$1,039,597",,,,,,,,,,,,,,,,,,,
Beaux Limmer,C,LAR,"$1,039,597",,,,,,,,,,,,,,,,,,,
Christian Mahogany,RG,DET,"$1,039,597",,,,,,,,,,,,,,,,,,,
Jordan Whittington,WR,LAR,"$1,039,597",,,,,,,,,,,,,,,,,,,
Olusegun Oluwatimi,C,SEA,"$1,039,115",,,,,,,,,,,,,,,,,,,
Dontayvion Wicks,WR,GB,"$1,035,636",,,,,,,,,,,,,,,,,,,
Will Mallory,TE,IND,"$1,032,648",,,,,,,,,,,,,,,,,,,
Michael Jurgens,C,MIN,"$1,032,185",,,,,,,,,,,,,,,,,,,
Chase Brown,RB,CIN,"$1,031,539",,,,,,,,,,,,,,,,,,,
Nathan Thomas,LT,DAL,"$1,031,493",,,,,,,,,,,,,,,,,,,
DeVaughn Vele,WR,NO,"$1,031,120",,,,,,,,,,,,,,,,,,,
Matt Lee,C,CIN,"$1,030,438",,,,,,,,,,,,,,,,,,,
Tommy DeVito,QB,NE,"$1,030,000",,,,,,,,,,,,,,,,,,,
D.J. Montgomery,WR,IND,"$1,030,000",,,,,,,,,,,,,,,,,,,
Bo Melton,WR,GB,"$1,030,000",,,,,,,,,,,,,,,,,,,
Alex Bachman,WR,LV,"$1,030,000",,,,,,,,,,,,,,,,,,,
Tucker Fisk,TE,LAC,"$1,030,000",,,,,,,,,,,,,,,,,,,
Jordan Meredith,C,LV,"$1,030,000",,,,,,,,,,,,,,,,,,,
Irvin Charles,WR,NYJ,"$1,030,000",,,,,,,,,,,,,,,,,,,
Mike Caliendo,LG,KC,"$1,030,000",,,,,,,,,,,,,,,,,,,
Emanuel Wilson,RB,GB,"$1,030,000",,,,,,,,,,,,,,,,,,,
Brady Russell,TE,SEA,"$1,030,000",,,,,,,,,,,,,,,,,,,
Chris Rodriguez Jr.,RB,WAS,"$1,030,000",,,,,,,,,,,,,,,,,,,
Ryan McCollum,C,PIT,"$1,030,000",,,,,,,,,,,,,,,,,,,
Lucas Krull,TE,DEN,"$1,030,000",,,,,,,,,,,,,,,,,,,
Blake Whiteheart,TE,CLE,"$1,030,000",,,,,,,,,,,,,,,,,,,
Zonovan Knight,RB,ARI,"$1,030,000",,,,,,,,,,,,,,,,,,,
Cody White,WR,SEA,"$1,030,000",,,,,,,,,,,,,,,,,,,
Ryan Van Demark,RT,BUF,"$1,030,000",,,,,,,,,,,,,,,,,,,
Josh Whyle,TE,GB,"$1,030,000",,,,,,,,,,,,,,,,,,,
Keaontay Ingram,RB,KC,"$1,030,000",,,,,,,,,,,,,,,,,,,
Jake Tonges,TE,SF,"$1,030,000",,,,,,,,,,,,,,,,,,,
Alec Anderson,RT,BUF,"$1,030,000",,,,,,,,,,,,,,,,,,,
Ben Brown,C,NE,"$1,030,000",,,,,,,,,,,,,,,,,,,
Travis Vokolek,TE,ARI,"$1,030,000",,,,,,,,,,,,,,,,,,,
Greg Dulcich,TE,MIA,"$1,030,000",,,,,,,,,,,,,,,,,,,
James Mitchell,TE,CAR,"$1,030,000",,,,,,,,,,,,,,,,,,,
Yodny Cajuste,LT,MIA,"$1,030,000",,,,,,,,,,,,,,,,,,,
Yasir Durant,LT,NE,"$1,030,000",,,,,,,,,,,,,,,,,,,
Jovaughn Gwyn,LG,ATL,"$1,030,000",,,,,,,,,,,,,,,,,,,
Jordan McFadden,LG,CHI,"$1,030,000",,,,,,,,,,,,,,,,,,,
Tyler Goodson,RB,IND,"$1,030,000",,,,,,,,,,,,,,,,,,,
Tahj Washington,WR,MIA,"$1,027,599",,,,,,,,,,,,,,,,,,,
Devin Culp,TE,TB,"$1,026,546",,,,,,,,,,,,,,,,,,,
K.T. Leveston,LG,CLE,"$1,025,184",,,,,,,,,,,,,,,,,,,
Eric Gray,RB,NYG,"$1,021,245",,,,,,,,,,,,,,,,,,,
Payne Durham,TE,TB,"$1,021,245",,,,,,,,,,,,,,,,,,,
Warren McClendon,LT,LAR,"$1,021,245",,,,,,,,,,,,,,,,,,,
Davis Allen,TE,LAR,"$1,021,245",,,,,,,,,,,,,,,,,,,
Asim Richards,LG,NO,"$1,021,245",,,,,,,,,,,,,,,,,,,
Puka Nacua,WR,LAR,"$1,021,245",,,,,,,,,,,,,,,,,,,
Tyrell Shavers,WR,BUF,"$1,021,000",,,,,,,,,,,,,,,,,,,
Isaiah Williams,WR,NYJ,"$1,017,500",,,,,,,,,,,,,,,,6,0,0,100
Demontrey Jacobs,RT,ARI,"$1,017,500",,,,,,,,,,,,,,,,,,,
Terrell Jennings,RB,NE,"$1,017,500",,,,,,,,,,,,,,,,,,,
Dylan Cook,LT,PIT,"$1,017,500",,,,,,,,,,,,,,,,,,,
Nick Samac,C,CAR,"$1,017,500",,,,,,,,,,,,,,,,,,,
Ryan Flournoy,WR,DAL,"$1,017,500",,,,,,,,,,,,,,,,,,,
Audric Estime,RB,NO,"$1,017,500",,,,,,,,,,,,,,,,,,,
Evan Hull,RB,NO,"$1,017,500",,,,,,,,,,,,,,,,,,,
Austin Deculus,RT,LAC,"$1,010,000",,,,,,,,,,,,,,,,,,,
Parker Washington,WR,JAX,"$1,008,066",,,,,,,,,,,,,,,,,,,
Kayshon Boutte,WR,NE,"$1,006,816",,,,,,,,,,,,,,,,,,,
Ben Chukwuma,RT,TB,"$1,006,667",,,,,,,,,,,,,,,,,,,
Tanner McKee,QB,PHI,"$1,006,630",nan,3.0,0.0,0.0,100.0,16.5,112.5,100.0,0.0,11.0,-0.06,3.69,-4.21,9.33,2.72,9.3,0,0,100
Isaiah Bond,WR,CLE,"$1,006,000",,,,,,,,,,,,,,,,,,,
Sam Howell,QB,PHI,"$1,005,400",,,,,,,,,,,,,,,,,,,
Luke Wypler,RG,CLE,"$1,004,993",,,,,,,,,,,,,,,,,,,
Trey Palmer,WR,NO,"$1,004,824",,,,,,,,,,,,,,,,,,,
Elijah Higgins,WR,ARI,"$1,003,970",,,,,,,,,,,,,,,,,,,
Jarrett Patterson,C,HOU,"$1,002,494",,,,,,,,,,,,,,,,,,,
Valentin Senn,LT,ARI,"$1,001,667",,,,,,,,,,,,,,,,,,,
Xavier Hutchinson,WR,HOU,"$1,000,925",,,,,,,,,,,,,,,,,,,
Beaux Collins,WR,NYG,"$1,000,333",,,,,,,,,,,,,,,,,,,
Josh Fryar,RT,ARI,"$1,000,000",,,,,,,,,,,,,,,,,,,
Andrei Iosivas,WR,CIN,"$999,848",,,,,,,,,,,,,,,,,,,
Tyler Allgeier,RB,ATL,"$998,472",,,,,,,,,,,,,,,,,,,
Willie Lampkin,RG,PHI,"$998,333",,,,,,,,,,,,,,,,,,,
Da'Quan Felton,WR,NYG,"$998,333",,,,,,,,,,,,,,,,,,,
Jake Briningstool,TE,KC,"$998,333",,,,,,,,,,,,,,,,,,,
Lan Larison,RB,NE,"$996,667",,,,,,,,,,,,,,,,,,,
Nick Kallerup,TE,SEA,"$996,667",,,,,,,,,,,,,,,,,,,
Efton Chism III,WR,NE,"$996,667",,,,,,,,,,,,,,,,,,,
Torricelli Simpkins III,RG,NO,"$996,667",,,,,,,,,,,,,,,,,,,
Jahdae Walker,WR,CHI,"$995,000",,,,,,,,,,,,,,,,,,,
Drew Moss,RG,TEN,"$995,000",,,,,,,,,,,,,,,,,,,
Ben Yurosek,TE,MIN,"$995,000",,,,,,,,,,,,,,,,,,,
Xavier Truss,RT,NO,"$995,000",,,,,,,,,,,,,,,,,,,
Demario Douglas,WR,NE,"$993,333",,,,,,,,,,,,,,,,,,,
Jalin Conyers,TE,MIA,"$993,333",,,,,,,,,,,,,,,,,,,
Brock Lampe,TE,NE,"$993,333",,,,,,,,,,,,,,,,,,,
Justin Osborne,C,CLE,"$993,333",,,,,,,,,,,,,,,,,,,
Darius Cooper,WR,PHI,"$993,333",,,,,,,,,,,,,,,,,,,
Savion Washington,RT,LAC,"$993,333",,,,,,,,,,,,,,,,,,,
Josh Williams,RB,TB,"$993,333",,,,,,,,,,,,,,,,,,,
Nate Carter,RB,ATL,"$993,333",,,,,,,,,,,,,,,,,,,
Zeke Correll,C,MIN,"$991,667",,,,,,,,,,,,,,,,,,,
Gus Hartwig,C,NYJ,"$991,667",,,,,,,,,,,,,,,,,,,
Joe Huber,RG,MIN,"$991,667",,,,,,,,,,,,,,,,,,,
Max Brosmer,QB,MIN,"$991,667",0,38.0,0.0,10.5,26.2,42.0,33.6,6.4,9.52,-1.0,-0.66,-35.54,-1.93,4.83,2.49,4.7,10.6,21.2,83
Raheim Sanders,RB,CLE,"$990,000",,,,,,,,,,,,,,,,,,,
Kye Robichaux,RB,DET,"$990,000",,,,,,,,,,,,,,,,,,,
Braxton Jones,LT,CHI,"$989,887",,,,,,,,,,,,,,,,,,,
Ty Chandler,RB,MIN,"$989,711",,,,,,,,,,,,,,,,,,,
Jack Wilson,RT,IND,"$988,333",,,,,,,,,,,,,,,,,,,
Deion Hankins,RB,CHI,"$988,333",,,,,,,,,,,,,,,,,,,
Jaden Smith,WR,TB,"$988,333",,,,,,,,,,,,,,,,,,,
Myles Price,WR,MIN,"$988,333",,,,,,,,,,,,,,,,,,,
Cooper Hodges,RT,JAX,"$986,373",,,,,,,,,,,,,,,,,,,
